Date,Actual Price,Predicted Price
2017-07-18,11.73750114440918,12.999776
2017-07-19,11.972501754760742,13.009175
2017-07-20,11.802499771118168,13.0326605
2017-07-21,11.785001754760746,13.069321
2017-07-24,12.239999771118166,13.117282
2017-07-25,12.402502059936523,13.175177
2017-07-26,12.582502365112306,13.241873
2017-07-27,11.857500076293949,13.316378
2017-07-28,11.592500686645508,13.395721
2017-07-31,11.399999618530275,13.475822
2017-08-01,11.73000144958496,13.5522785
2017-08-02,13.50250053405762,13.6221695
2017-08-03,13.110002517700194,13.687645
2017-08-04,13.315000534057615,13.751833
2017-08-07,13.920000076293944,13.817885
2017-08-08,14.23750114440918,13.889702
2017-08-09,14.482500076293949,13.971058
2017-08-10,13.0475025177002,14.065198
2017-08-11,13.587499618530275,14.16937
2017-08-14,14.180002212524414,14.280249
2017-08-15,14.617502212524414,14.397161
2017-08-16,14.454999923706051,14.52188
2017-08-17,13.6825008392334,14.654435
2017-08-18,13.592500686645506,14.790181
2017-08-21,13.520002365112306,14.924021
2017-08-22,14.162500381469728,15.051286
2017-08-23,14.212499618530272,15.167164
2017-08-24,14.035001754760742,15.271509
2017-08-25,14.1825008392334,15.363102
2017-08-28,14.58500099182129,15.441521
2017-08-29,14.945001602172852,15.508842
2017-08-30,15.055002212524418,15.569724
2017-08-31,15.217500686645506,15.62892
2017-09-01,15.230001449584964,15.691964
2017-09-05,14.73750114440918,15.762483
2017-09-06,14.69500160217285,15.837337
2017-09-07,14.532499313354496,15.912356
2017-09-08,13.875001907348633,15.981428
2017-09-11,14.592500686645511,16.036463
2017-09-12,14.432500839233402,16.074045
2017-09-13,14.129999160766603,16.093294
2017-09-14,13.78750038146973,16.094778
2017-09-15,14.187501907348636,16.078516
2017-09-18,13.885000228881838,16.047523
2017-09-19,13.899999618530272,16.004307
2017-09-20,13.235002517700195,15.952314
2017-09-21,12.56500053405762,15.89344
2017-09-22,12.190000534057615,15.827285
2017-09-25,11.855001449584964,15.752874
2017-09-26,12.50250053405762,15.668563
2017-09-27,12.774999618530272,15.576762
2017-09-28,12.537500381469728,15.481527
2017-09-29,12.74749946594238,15.385356
2017-10-02,12.670000076293944,15.290982
2017-10-03,12.837499618530275,15.200802
2017-10-04,12.587499618530272,15.117117
2017-10-05,13.06500053405762,15.040603
2017-10-06,13.042501449584964,14.972598
2017-10-09,13.177499771118164,14.914165
2017-10-10,13.192499160766602,14.866172
2017-10-11,13.35500144958496,14.8291445
2017-10-12,13.217500686645508,14.803622
2017-10-13,13.465002059936523,14.789459
2017-10-16,14.187501907348636,14.7867985
2017-10-17,14.335000991821287,14.797695
2017-10-18,14.157499313354492,14.824333
2017-10-19,13.212499618530272,14.867142
2017-10-20,13.28000068664551,14.921803
2017-10-23,13.260000228881838,14.982218
2017-10-24,13.492502212524412,15.042739
2017-10-25,13.320001602172852,15.09991
2017-10-26,13.570001602172855,15.150438
2017-10-27,14.98000144958496,15.193116
2017-10-30,15.897500991821293,15.232076
2017-10-31,16.477499008178714,15.276463
2017-11-01,15.940000534057615,15.338541
2017-11-02,16.2450008392334,15.429841
2017-11-03,17.342500686645508,15.555306
2017-11-06,17.78000068664551,15.715286
2017-11-07,17.92000007629395,15.903571
2017-11-08,18.277502059936523,16.122576
2017-11-09,18.187501907348636,16.36679
2017-11-10,17.885000228881836,16.64606
2017-11-13,17.71000099182129,16.961365
2017-11-14,17.052499771118164,17.303406
2017-11-15,16.48750114440918,17.665726
2017-11-16,16.992502212524414,18.00533
2017-11-17,16.754999160766605,18.288597
2017-11-20,16.712499618530273,18.497555
2017-11-21,17.50250053405762,18.62436
2017-11-22,17.957502365112305,18.67425
